Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
CEE	All	Male	This course advanced my understanding of the subject matter.	6	3	6	8	96	119	0	232	4.517250365
CEE	Professor	Male	This course advanced my understanding of the subject matter.	6	3	6	8	96	119	0	232	4.517250365
CEE	All	Female	All Questions	4	48	168	345	644	647	1	1852	4.190043602
CEE	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	4	3	26	43	89	69	1	230	4.097916667
CEE	All	Female	My interest in the subject has increased because of this course.	4	16	47	53	78	37	0	231	3.552252664
CEE	All	Female	Overall, the instructor was an excellent teacher.	4	6	21	62	80	62	0	231	4.013642062
CEE	All	Female	Overall, this was an excellent course	4	11	32	79	73	37	0	232	3.629610079
CEE	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	4	22	56	77	73	0	232	4.096403069
CEE	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	1	7	18	71	133	0	230	4.663853074
CEE	All	Female	The instructor treated students with respect.	4	3	4	12	59	156	0	234	4.698097367
CEE	All	Female	This course advanced my understanding of the subject matter.	4	4	9	22	117	80	0	232	4.285016109
CEE	Professor	Female	All Questions	3	48	157	333	595	459	0	1592	3.983887923
CEE	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	3	25	41	81	49	0	199	3.888888889
CEE	Professor	Female	My interest in the subject has increased because of this course.	3	16	41	49	65	28	0	199	3.415824065
CEE	Professor	Female	Overall, the instructor was an excellent teacher.	3	6	21	62	79	30	0	198	3.690064416
CEE	Professor	Female	Overall, this was an excellent course	3	11	28	75	61	25	0	200	3.450591216
CEE	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	4	22	56	76	41	0	199	3.800412425
CEE	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	1	7	18	70	101	0	197	4.557012432
CEE	Professor	Female	The instructor treated students with respect.	3	3	4	12	58	123	0	200	4.602513661
CEE	Professor	Female	This course advanced my understanding of the subject matter.	3	4	9	20	105	62	0	200	4.176317775
CEE	Not a Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CEE	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHE	All	Male	All Questions	57	555	1155	2580	6596	8728	894	19614	4.263645671
CHE	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	57	82	177	407	938	962	3	2566	4.09295379
CHE	All	Male	My interest in the subject has increased because of this course.	57	148	278	464	863	809	6	2562	3.826540634
CHE	All	Male	Overall, the instructor was an excellent teacher.	57	62	134	317	792	1044	205	2349	4.234931487
CHE	All	Male	Overall, this was an excellent course	57	111	243	496	933	782	2	2565	3.853447482
CHE	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	57	76	111	325	746	1081	226	2339	4.265372883
CHE	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	57	23	75	210	665	1341	247	2314	4.521848558
CHE	All	Male	The instructor treated students with respect.	57	14	41	138	586	1572	202	2351	4.682808274
CHE	All	Male	This course advanced my understanding of the subject matter.	57	39	96	223	1073	1137	3	2568	4.320043793
CHE	Professor	Male	All Questions	36	412	864	1814	4782	6732	225	14604	4.264801326
CHE	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	36	64	129	278	666	719	2	1856	4.060975195
CHE	Professor	Male	My interest in the subject has increased because of this course.	36	96	172	333	650	602	3	1853	3.864341261
CHE	Professor	Male	Overall, the instructor was an excellent teacher.	36	55	124	228	578	812	51	1797	4.182267867
CHE	Professor	Male	Overall, this was an excellent course	36	70	168	326	688	602	1	1854	3.88477411
CHE	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	36	68	100	250	529	851	56	1798	4.21071476
CHE	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	36	19	68	144	480	1086	58	1797	4.543088023
CHE	Professor	Male	The instructor treated students with respect.	36	12	38	98	419	1227	52	1794	4.679350494
CHE	Professor	Male	This course advanced my understanding of the subject matter.	36	28	65	157	772	833	2	1855	4.319295386
CHE	Not a Professor	Male	All Questions	21	143	291	766	1814	1996	669	5010	4.261664548
CHE	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	21	18	48	129	272	243	1	710	4.147774238
CHE	Not a Professor	Male	My interest in the subject has increased because of this course.	21	52	106	131	213	207	3	709	3.761739559
CHE	Not a Professor	Male	Overall, the instructor was an excellent teacher.	21	7	10	89	214	232	154	552	4.325211978
CHE	Not a Professor	Male	Overall, this was an excellent course	21	41	75	170	245	180	1	711	3.799744692
CHE	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	21	8	11	75	217	230	170	541	4.359072523
CHE	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	21	4	7	66	185	255	189	517	4.485438046
CHE	Not a Professor	Male	The instructor treated students with respect.	21	2	3	40	167	345	150	557	4.688735896
CHE	Not a Professor	Male	This course advanced my understanding of the subject matter.	21	11	31	66	301	304	1	713	4.321326775
CHE	All	Female	All Questions	19	174	326	739	1805	1956	341	5000	4.266908233
CHE	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	19	33	55	125	260	190	7	663	4.003372956
CHE	All	Female	My interest in the subject has increased because of this course.	19	43	76	145	218	177	8	659	3.879073806
CHE	All	Female	Overall, the instructor was an excellent teacher.	19	21	41	82	214	231	77	589	4.21448235
CHE	All	Female	Overall, this was an excellent course	19	37	68	153	227	179	6	664	3.918149798
CHE	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	19	20	39	78	209	242	78	588	4.306834546
CHE	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	19	5	18	57	203	300	84	583	4.521596318
CHE	All	Female	The instructor treated students with respect.	19	1	6	36	159	391	74	593	4.700730549
CHE	All	Female	This course advanced my understanding of the subject matter.	19	14	23	63	315	246	7	661	4.275152832
CHE	Professor	Female	All Questions	15	151	298	661	1569	1621	115	4300	4.2190141
CHE	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	15	30	51	115	222	135	1	553	3.942050188
CHE	Professor	Female	My interest in the subject has increased because of this course.	15	39	68	128	177	138	2	550	3.796300505
CHE	Professor	Female	Overall, the instructor was an excellent teacher.	15	16	38	72	191	206	27	523	4.242510976
CHE	Professor	Female	Overall, this was an excellent course	15	35	61	139	192	126	1	553	3.820262472
CHE	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	15	15	36	67	192	213	27	523	4.302488261
CHE	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	15	2	16	49	187	267	30	521	4.53110714
CHE	Professor	Female	The instructor treated students with respect.	15	1	6	31	140	348	26	526	4.712895484
CHE	Professor	Female	This course advanced my understanding of the subject matter.	15	13	22	60	268	188	1	551	4.213180904
CHE	Not a Professor	Female	All Questions	4	23	28	78	236	335	226	700	4.446511236
CHE	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	4	3	4	10	38	55	6	110	4.233333333
CHE	Not a Professor	Female	My interest in the subject has increased because of this course.	4	4	8	17	41	39	6	109	4.189473684
CHE	Not a Professor	Female	Overall, the instructor was an excellent teacher.	4	5	3	10	23	25	50	66	4.109375
CHE	Not a Professor	Female	Overall, this was an excellent course	4	2	7	14	35	53	5	111	4.285227273
CHE	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	5	3	11	17	29	51	65	4.323133117
CHE	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	3	2	8	16	33	54	62	4.485930736
CHE	Not a Professor	Female	The instructor treated students with respect.	4	0	0	5	19	43	48	67	4.655112045
CHE	Not a Professor	Female	This course advanced my understanding of the subject matter.	4	1	1	3	47	58	6	110	4.50754756
CHEM	All	Male	All Questions	2	11	71	141	312	573	8	1108	4.253879969
CHEM	Professor	Male	All Questions	2	11	71	141	312	573	8	1108	4.253879969
CHEM	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	1	9	14	33	81	1	138	4.252902156
CHEM	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	1	9	14	33	81	1	138	4.252902156
CHEM	All	Male	My interest in the subject has increased because of this course.	2	3	18	34	52	32	1	139	3.753189793
CHEM	Professor	Male	My interest in the subject has increased because of this course.	2	3	18	34	52	32	1	139	3.753189793
CHEM	All	Male	Overall, the instructor was an excellent teacher.	2	2	10	15	36	76	1	139	4.179096639
CHEM	Professor	Male	Overall, the instructor was an excellent teacher.	2	2	10	15	36	76	1	139	4.179096639
CHEM	All	Male	Overall, this was an excellent course	2	2	10	21	48	56	1	137	4.015306122
CHEM	Professor	Male	Overall, this was an excellent course	2	2	10	21	48	56	1	137	4.015306122
CHEM	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	3	7	17	29	83	1	139	4.129346681
CHEM	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	3	7	17	29	83	1	139	4.129346681
CHEM	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	9	14	26	90	1	139	4.239078822
CHEM	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	9	14	26	90	1	139	4.239078822
CHEM	All	Male	The instructor treated students with respect.	2	0	0	3	22	113	1	138	4.875578704
CHEM	Professor	Male	The instructor treated students with respect.	2	0	0	3	22	113	1	138	4.875578704
CHEM	All	Male	This course advanced my understanding of the subject matter.	2	0	8	23	66	42	1	139	4.029365079
CHEM	Professor	Male	This course advanced my understanding of the subject matter.	2	0	8	23	66	42	1	139	4.029365079
CHEM	All	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
